SITE CODE= CBB常陸太田市町屋町          ,38.1033,142.8600, 24,9.0,40613.6154873, 38.37, 66.67
 LAT.=   36.6140
 LON.=  140.5653
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2011 03 11 14 46 50
 NS,EW,UD
0.000,0.001,0.000
0.000,0.000,-0.001
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
-0.001,0.000,0.000
-0.001,0.000,0.000
-0.001,-0.001,0.000
0.000,-0.001,0.000
0.000,-0.001,-0.001
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,-0.001,0.000
0.000,-0.001,-0.001
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.001,0.000
0.000,0.001,0.000
0.000,0.001,-0.001
0.000,0.001,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,-0.001,0.000
0.000,-0.001,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,-0.001
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,-0.001
0.000,0.000,-0.001
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.001
0.000,0.000,0.001
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.001
0.000,0.000,0.002
0.000,0.000,0.001
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.001
0.000,0.000,0.001
0.001,0.001,0.000
0.001,0.001,0.000
0.000,0.002,0.000
0.000,0.001,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.001
0.000,0.000,0.001
0.000,0.000,0.001
0.000,0.000,0.000
-0.001,0.000,0.000
-0.001,0.001,0.000
-0.001,0.001,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
-0.001,0.000,-0.001
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.001,0.000,0.000
0.000,0.000,0.000
0.000,0.001,0.000
0.000,0.001,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.001,0.001
0.000,0.000,0.001
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,-0.001
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.001
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,-0.001
0.000,0.000,-0.001
0.000,0.000,-0.001
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
-0.001,0.000,0.000
-0.001,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,-0.001
0.000,0.000,0.000
0.000,0.000,0.000
-0.001,0.000,0.000
0.000,0.000,0.001
0.000,0.000,0.001
0.000,-0.001,0.001
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,-0.001
0.000,0.000,-0.001
0.000,0.001,0.000
0.000,0.001,0.000
0.000,0.001,0.001
0.000,0.000,0.002
0.000,0.000,0.001
0.000,0.000,0.001
0.000,0.000,0.001
0.000,0.000,0.002
-0.001,0.000,0.001
-0.001,0.000,0.000
-0.001,0.000,0.000
-0.001,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,-0.001
0.000,0.000,-0.001
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.001,0.000
0.000,0.001,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.001
0.000,0.000,0.001
0.000,0.000,0.001
0.000,0.000,0.000
0.000,0.000,0.000
-0.001,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.001
0.000,0.000,0.001
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,-0.001
0.000,0.000,-0.001
0.000,0.000,0.000
0.000,0.000,0.001
0.000,0.000,0.001
0.000,0.000,0.001
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.001
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
-0.001,0.000,0.000
-0.001,0.000,0.000
-0.001,0.000,0.000
0.000,0.000,0.000
0.000,0.000,-0.001
0.000,0.000,-0.001
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.001
0.000,0.000,0.001
0.000,0.000,0.001
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.001
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.001
0.000,0.000,0.001
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,-0.001,0.000
0.000,-0.001,0.000
0.000,-0.001,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.001
0.000,0.000,0.002
0.000,0.000,0.001
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.001
0.000,0.000,0.001
0.000,0.000,0.001
