SITE CODE= E08石巻市泉町                ,38.1033,142.8600, 24,9.0,40613.6154873, 22.42, 38.64
 LAT.=   38.4277
 LON.=  141.2994
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2011 03 11 14 46 30
 NS,EW,UD
0.008,0.027,-0.034
-0.010,-0.005,0.001
0.022,-0.071,0.041
-0.002,-0.018,0.035
-0.045,0.068,0.018
-0.016,0.107,-0.048
0.024,0.047,-0.063
0.026,-0.095,0.004
0.019,-0.185,0.049
0.020,-0.052,0.064
-0.010,0.150,0.004
-0.030,0.114,-0.052
-0.027,-0.013,-0.034
-0.021,0.019,-0.012
0.020,0.040,0.020
0.064,-0.137,0.023
0.024,-0.168,0.004
-0.028,0.081,0.011
-0.015,0.169,0.000
-0.013,0.029,-0.010
-0.010,-0.076,-0.013
-0.024,-0.062,-0.011
0.009,0.041,-0.003
0.058,0.091,-0.020
-0.021,-0.057,0.024
-0.013,-0.184,0.090
0.038,0.043,0.010
-0.024,0.223,-0.093
-0.015,0.027,-0.071
0.019,-0.090,0.008
-0.004,-0.027,0.070
-0.026,-0.038,0.056
-0.029,-0.112,0.016
0.030,-0.004,-0.027
0.034,0.208,-0.076
-0.022,0.105,-0.017
0.002,-0.112,0.054
0.027,-0.133,0.029
-0.005,-0.029,-0.004
-0.022,0.112,-0.032
-0.014,0.113,-0.025
-0.003,-0.069,0.011
0.019,-0.157,0.030
0.015,0.025,0.036
0.016,0.133,-0.009
0.008,-0.024,-0.046
-0.033,-0.064,-0.013
-0.008,0.094,0.011
0.002,0.046,0.017
0.013,-0.146,0.014
0.027,-0.072,0.001
-0.017,0.102,0.004
-0.001,0.109,-0.015
-0.002,-0.016,-0.002
-0.016,-0.112,0.025
-0.013,-0.016,-0.006
-0.002,0.104,-0.028
0.039,0.034,-0.011
-0.005,-0.119,0.043
-0.012,-0.069,0.054
0.019,0.113,-0.027
-0.006,0.093,-0.086
-0.016,-0.044,-0.042
-0.026,-0.082,0.059
0.035,-0.038,0.070
0.050,-0.009,0.002
-0.023,0.029,-0.038
-0.008,0.086,-0.044
0.005,0.058,-0.009
-0.034,-0.032,0.026
-0.038,-0.080,0.029
0.019,-0.055,0.008
0.066,0.021,-0.016
0.002,0.072,-0.017
-0.032,0.031,0.003
-0.009,-0.014,0.025
-0.016,-0.006,0.005
0.006,-0.031,-0.018
0.034,-0.040,-0.006
0.034,0.032,-0.011
-0.030,0.060,0.000
-0.039,-0.001,0.018
0.008,-0.033,0.008
-0.020,-0.018,0.003
0.026,0.004,-0.010
0.027,0.009,-0.006
-0.018,-0.013,0.002
0.018,0.005,-0.017
-0.027,0.016,-0.005
-0.022,0.002,0.020
0.036,0.014,0.017
0.014,-0.033,0.006
0.020,-0.044,-0.002
0.000,0.051,0.000
-0.058,0.061,0.012
-0.019,-0.027,-0.014
0.019,-0.045,-0.042
0.004,-0.009,0.003
0.037,-0.007,0.038
0.024,0.032,0.038
-0.027,0.061,0.009
-0.026,-0.026,-0.040
-0.024,-0.052,-0.021
0.011,0.015,-0.002
0.009,0.011,-0.002
0.014,-0.011,0.027
0.069,0.001,0.005
-0.024,0.014,-0.006
-0.079,0.014,0.005
0.008,-0.002,-0.018
0.011,0.000,0.004
-0.012,-0.019,0.017
0.001,-0.030,0.001
0.030,0.016,-0.005
0.017,0.048,-0.006
-0.022,0.016,0.019
0.006,-0.023,-0.004
-0.017,0.005,-0.018
-0.024,0.001,0.005
0.023,-0.039,-0.002
0.019,-0.013,0.014
0.023,0.025,-0.001
-0.016,0.029,-0.015
-0.016,0.009,0.008
0.012,-0.011,-0.006
-0.039,-0.015,-0.003
0.000,0.000,0.017
0.042,0.012,-0.001
0.000,0.002,-0.005
-0.004,-0.014,0.007
-0.008,0.025,-0.003
-0.013,0.039,-0.006
-0.020,-0.036,0.000
0.000,-0.041,0.004
0.048,0.007,0.007
-0.018,0.009,0.001
-0.027,0.018,-0.010
0.034,0.030,-0.005
-0.022,-0.021,0.005
0.005,-0.046,-0.003
0.035,0.009,0.010
-0.029,0.004,0.018
-0.004,0.001,-0.018
0.003,0.007,-0.018
-0.009,-0.004,0.013
0.016,0.050,0.008
-0.005,0.014,-0.007
0.000,-0.057,0.002
0.006,-0.033,0.018
-0.021,0.007,0.002
-0.003,0.019,-0.008
0.039,0.023,-0.002
0.005,0.055,-0.009
-0.053,0.000,0.014
0.025,-0.076,0.006
0.026,-0.019,-0.025
-0.055,0.037,0.016
0.018,0.005,0.023
0.046,-0.019,-0.021
-0.018,0.023,-0.023
-0.007,0.009,-0.001
0.020,-0.013,0.016
-0.008,0.011,0.011
-0.011,-0.024,-0.008
-0.005,-0.035,0.006
-0.004,0.018,0.013
0.008,0.051,-0.014
-0.005,-0.009,-0.008
0.025,-0.045,-0.007
0.020,0.016,-0.004
-0.040,0.028,0.033
-0.004,0.000,0.006
0.014,0.005,-0.020
-0.037,0.012,-0.002
-0.006,-0.020,0.004
0.024,-0.021,0.013
-0.009,0.022,-0.007
0.011,-0.005,-0.023
0.015,-0.040,0.004
-0.009,0.020,0.028
0.007,0.073,0.005
-0.002,0.010,-0.015
-0.012,-0.037,-0.002
-0.001,-0.038,-0.001
-0.013,-0.043,0.005
-0.013,0.010,-0.013
0.021,0.027,-0.015
0.026,0.025,0.027
0.006,0.030,0.008
0.020,-0.009,-0.013
-0.007,-0.010,-0.008
-0.059,-0.018,0.006
-0.007,-0.024,0.017
0.030,0.024,-0.006
-0.003,0.038,-0.004
-0.007,-0.023,-0.004
-0.003,-0.041,-0.006
0.001,0.025,0.006
0.002,0.031,0.000
0.006,-0.007,0.005
0.013,-0.007,0.006
-0.014,0.008,-0.011
-0.012,-0.002,-0.002
0.017,-0.018,0.018
0.006,0.000,-0.005
-0.022,-0.004,-0.028
-0.008,-0.014,-0.004
0.021,0.001,0.016
0.027,0.020,0.006
0.012,0.028,0.018
-0.007,0.003,0.016
-0.011,0.002,-0.040
-0.028,-0.017,-0.022
-0.009,-0.026,0.027
0.020,0.040,0.005
0.000,0.020,-0.004
0.016,-0.071,-0.004
0.014,-0.049,-0.002
-0.013,0.067,0.013
0.003,0.070,0.006
0.013,-0.021,0.003
-0.013,-0.012,-0.006
-0.055,0.016,-0.009
-0.006,-0.032,-0.003
0.048,-0.045,0.000
0.014,0.038,0.009
0.027,0.036,0.006
0.005,-0.047,-0.006
-0.042,0.008,-0.002
-0.005,0.020,0.015
-0.021,-0.001,0.009
-0.020,0.041,-0.016
0.044,-0.036,-0.012
0.015,-0.062,0.006
-0.001,0.009,0.002
0.027,0.037,-0.005
-0.002,0.045,0.012
-0.010,0.001,0.017
-0.001,-0.013,-0.013
-0.032,-0.011,-0.013
-0.037,-0.038,0.004
0.019,0.008,0.014
0.040,0.035,0.005
-0.003,-0.005,-0.031
0.015,-0.017,-0.014
0.033,0.009,0.030
-0.037,0.017,0.033
-0.047,-0.019,-0.009
0.002,-0.040,-0.029
0.022,0.005,0.001
-0.005,0.042,0.002
0.005,0.022,-0.006
0.036,0.002,0.001
-0.033,-0.025,0.006
-0.018,-0.015,0.005
0.027,0.030,0.000
-0.024,-0.005,-0.001
0.016,-0.010,-0.014
0.027,0.014,-0.003
-0.017,-0.011,0.011
-0.006,-0.007,0.002
-0.012,0.013,0.017
0.005,0.021,0.010
-0.002,-0.010,-0.013
-0.026,-0.030,-0.008
0.028,0.010,-0.002
0.029,0.034,0.005
-0.045,0.002,0.000
-0.025,-0.039,-0.006
0.050,-0.007,0.006
0.013,0.028,0.013
-0.033,-0.017,0.002
0.005,-0.003,-0.008
0.005,0.038,-0.006
0.001,0.016,0.000
0.005,-0.001,0.005
-0.002,-0.036,-0.001
-0.016,-0.023,-0.003
-0.030,0.020,0.005
0.019,0.011,0.007
0.024,0.006,-0.001
0.005,0.003,-0.020
0.013,0.007,-0.005
-0.022,0.012,0.022
-0.023,0.000,0.002
0.012,-0.027,-0.002
0.034,-0.018,-0.007
0.000,0.014,-0.016
-0.045,-0.001,0.012
-0.005,-0.011,-0.002
0.037,0.014,0.000
-0.006,0.022,0.020
-0.007,-0.007,-0.012
0.054,-0.014,-0.007
-0.007,0.038,0.014
-0.052,0.034,0.009
0.011,-0.066,0.004
-0.004,-0.057,-0.023
-0.015,0.047,-0.019
0.025,0.032,0.017
0.017,-0.003,0.016
0.002,0.020,0.002
-0.009,-0.005,0.012
-0.005,-0.014,0.006
-0.009,0.009,-0.015
-0.033,-0.022,-0.004
0.030,-0.034,-0.009
0.042,0.030,-0.012
-0.023,0.067,0.026
-0.006,-0.008,0.007
-0.001,-0.043,-0.002
-0.013,0.004,0.015
-0.025,-0.025,-0.011
0.001,-0.022,-0.008
0.045,0.068,0.001
-0.001,0.049,0.000
0.009,-0.043,-0.005
