SITE CODE= 51E久喜市下早見              ,38.1033,142.8600, 24,9.0,40613.6154873, 51.36, 89.60
 LAT.=   36.0595
 LON.=  139.6669
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2011 03 11 14 47 10
 NS,EW,UD
-0.002,0.030,-0.002
0.002,-0.020,-0.002
-0.021,-0.029,-0.023
-0.052,0.011,-0.028
-0.033,0.047,-0.030
-0.038,0.038,-0.015
-0.027,0.005,0.009
-0.036,-0.010,0.000
-0.035,-0.045,-0.029
0.006,-0.075,-0.064
0.050,-0.071,-0.074
0.093,-0.029,-0.043
0.061,0.042,-0.018
-0.002,0.075,0.017
-0.023,0.066,0.039
-0.023,0.064,0.015
-0.011,0.036,-0.006
-0.002,-0.021,-0.033
0.007,-0.048,-0.051
0.044,-0.059,-0.032
0.035,-0.039,-0.026
-0.018,-0.021,-0.016
-0.004,-0.011,-0.018
-0.011,0.029,-0.033
-0.032,0.018,-0.009
-0.032,0.002,-0.011
-0.071,0.003,-0.028
-0.068,-0.016,-0.027
-0.045,-0.035,-0.035
-0.016,-0.052,-0.048
0.044,-0.026,-0.057
0.079,0.023,-0.050
0.114,0.046,-0.025
0.108,0.080,0.007
0.069,0.123,0.031
0.049,0.134,0.058
0.012,0.079,0.044
-0.015,0.007,0.019
0.001,-0.021,0.000
0.023,-0.041,-0.045
-0.001,-0.063,-0.072
-0.046,-0.077,-0.099
-0.067,-0.058,-0.101
-0.057,-0.004,-0.066
-0.061,0.016,-0.034
-0.046,0.003,0.008
-0.020,-0.001,0.018
-0.051,-0.018,0.000
-0.050,-0.077,-0.015
-0.063,-0.092,-0.046
-0.057,-0.051,-0.044
0.021,-0.026,-0.023
0.021,0.002,-0.028
0.074,0.034,-0.036
0.132,0.074,-0.038
0.096,0.120,-0.015
0.105,0.105,0.010
0.064,0.048,0.000
0.005,0.028,-0.016
-0.001,0.004,-0.029
-0.021,-0.041,-0.059
-0.026,-0.030,-0.073
-0.024,0.036,-0.065
-0.007,0.075,-0.052
0.019,0.064,-0.021
0.036,0.041,-0.010
0.046,0.022,-0.006
0.024,-0.017,-0.004
0.006,-0.090,-0.034
-0.027,-0.116,-0.039
-0.080,-0.073,-0.017
-0.106,-0.021,-0.011
-0.098,-0.014,0.001
-0.061,-0.005,0.009
-0.011,0.025,0.005
0.025,0.022,0.000
0.039,-0.013,-0.014
0.075,-0.036,-0.023
0.069,0.012,-0.023
0.043,0.046,-0.010
0.038,0.062,-0.001
-0.003,0.076,-0.011
0.008,0.057,-0.022
-0.021,0.046,-0.039
-0.075,0.003,-0.058
-0.034,-0.032,-0.064
-0.011,-0.014,-0.064
-0.006,0.011,-0.038
0.021,0.005,-0.027
0.032,0.002,-0.045
0.036,0.012,-0.016
0.045,0.004,0.005
0.000,0.010,0.014
-0.002,0.006,0.027
0.019,0.011,0.002
-0.018,-0.001,-0.020
-0.010,-0.054,-0.052
0.003,-0.055,-0.091
0.036,-0.020,-0.071
0.063,0.001,-0.031
0.049,0.007,-0.002
0.050,0.019,0.008
0.050,0.019,-0.005
0.007,0.020,0.004
-0.078,0.010,0.017
-0.091,-0.026,-0.005
-0.070,-0.029,-0.049
-0.080,-0.036,-0.079
-0.066,-0.015,-0.070
-0.028,0.032,-0.040
0.027,0.055,-0.023
0.040,0.077,-0.018
0.027,0.067,-0.026
0.050,0.040,-0.030
0.063,0.035,0.016
0.054,0.045,0.049
0.018,0.026,0.031
-0.014,-0.007,-0.013
-0.018,-0.054,-0.057
-0.004,-0.111,-0.070
-0.008,-0.100,-0.065
-0.009,-0.054,-0.028
0.035,0.009,0.013
0.057,0.061,0.010
0.088,0.040,-0.002
0.079,0.020,-0.011
0.058,0.012,-0.001
0.095,0.003,0.010
0.050,0.029,0.002
-0.015,0.029,0.000
-0.042,0.016,-0.008
-0.091,0.009,-0.026
-0.108,-0.024,-0.041
-0.103,-0.038,-0.045
-0.071,-0.033,-0.051
-0.021,-0.027,-0.055
-0.007,-0.017,-0.048
-0.021,-0.003,-0.020
-0.041,0.029,-0.006
-0.041,0.033,-0.025
-0.018,0.018,-0.043
0.009,0.030,-0.056
0.014,0.053,-0.054
0.030,0.059,-0.041
0.054,0.026,-0.031
0.061,-0.025,-0.039
0.081,-0.015,-0.049
0.081,-0.004,-0.020
0.077,-0.021,0.012
0.055,0.003,0.034
0.019,0.003,0.018
0.000,-0.011,-0.017
-0.038,-0.007,-0.004
-0.066,-0.021,0.007
-0.076,-0.029,-0.014
-0.062,-0.033,-0.037
-0.034,-0.038,-0.044
-0.011,-0.019,-0.041
-0.006,0.031,-0.025
0.000,0.056,0.007
0.004,0.057,0.007
-0.021,0.039,-0.022
-0.017,0.023,-0.052
-0.024,0.048,-0.057
-0.019,0.033,-0.036
0.023,0.021,-0.033
0.052,0.022,-0.057
0.072,0.010,-0.075
0.084,0.002,-0.054
0.096,-0.036,-0.020
0.075,-0.059,-0.007
0.055,-0.030,-0.009
0.033,-0.007,-0.011
0.006,-0.029,0.008
-0.021,-0.025,0.034
-0.095,-0.014,0.030
-0.109,-0.020,0.018
-0.095,-0.014,-0.008
-0.089,-0.020,-0.030
-0.052,0.014,-0.030
-0.046,0.050,-0.027
-0.032,0.027,-0.020
-0.002,0.011,-0.030
0.012,0.024,-0.035
0.027,0.044,-0.016
0.037,0.034,0.001
0.055,0.015,0.004
0.057,0.043,-0.004
0.053,0.066,-0.011
0.070,0.049,0.002
0.081,-0.005,-0.007
0.074,-0.031,-0.039
0.030,-0.021,-0.039
0.014,-0.050,-0.034
0.009,-0.061,-0.025
-0.032,-0.043,-0.005
-0.086,-0.007,0.005
-0.115,-0.001,0.003
-0.066,-0.036,-0.020
-0.016,-0.007,-0.045
0.020,0.045,-0.066
0.059,0.036,-0.071
0.085,-0.005,-0.082
0.095,0.002,-0.101
0.033,0.022,-0.093
0.007,0.023,-0.050
0.004,0.033,-0.006
-0.033,0.064,0.030
-0.026,0.104,0.049
-0.028,0.064,0.014
0.000,0.001,-0.024
0.045,-0.008,-0.055
0.027,0.020,-0.065
0.007,0.039,-0.028
-0.012,0.003,-0.018
-0.035,-0.013,-0.042
-0.057,-0.030,-0.044
-0.074,-0.096,-0.033
-0.068,-0.133,-0.016
-0.044,-0.119,-0.010
-0.014,-0.073,-0.018
-0.004,-0.028,-0.016
0.021,-0.023,-0.029
0.029,0.007,-0.026
-0.002,0.049,-0.020
-0.004,0.015,-0.035
-0.004,0.001,-0.035
0.018,0.029,-0.050
0.045,0.023,-0.063
0.030,0.016,-0.052
0.034,0.007,-0.046
0.069,0.043,-0.027
0.083,0.095,0.001
0.052,0.104,0.041
0.033,0.086,0.070
0.007,0.084,0.047
-0.057,0.085,0.020
-0.057,0.041,-0.008
-0.036,0.007,-0.022
-0.042,0.004,-0.026
-0.012,-0.006,-0.052
-0.018,-0.053,-0.048
-0.022,-0.067,-0.052
0.017,-0.064,-0.063
0.014,-0.077,-0.045
-0.009,-0.061,-0.005
-0.011,-0.063,0.020
-0.022,-0.030,0.009
0.001,-0.032,-0.011
0.053,-0.061,-0.031
0.047,-0.008,-0.014
0.047,0.022,-0.001
0.049,0.023,-0.022
0.025,0.018,-0.027
0.014,0.005,-0.029
-0.029,0.036,-0.012
-0.044,0.056,0.011
-0.023,0.047,0.026
-0.038,0.068,0.031
-0.048,0.040,-0.018
-0.044,-0.018,-0.052
-0.050,-0.014,-0.048
-0.040,0.009,-0.056
-0.015,0.038,-0.059
0.007,0.034,-0.076
0.029,0.019,-0.076
0.028,0.038,-0.039
0.029,0.005,-0.005
0.050,-0.017,0.024
0.067,-0.002,0.029
0.108,0.008,0.012
0.110,0.030,0.004
0.095,0.023,0.014
0.079,0.027,0.005
0.029,0.009,-0.048
0.007,-0.036,-0.061
-0.039,-0.041,-0.029
-0.071,-0.023,-0.001
-0.075,0.003,0.030
-0.109,-0.018,0.041
-0.120,-0.048,0.024
-0.080,-0.049,-0.018
-0.048,-0.027,-0.050
-0.018,-0.035,-0.054
0.013,-0.046,-0.063
0.016,0.012,-0.059
0.026,0.027,-0.052
-0.016,0.041,-0.016
-0.029,0.039,0.024
0.019,0.020,0.014
0.041,0.034,-0.007
0.082,-0.014,-0.012
0.094,-0.012,0.001
0.108,0.054,-0.004
0.096,0.053,-0.016
0.055,0.026,-0.019
0.040,0.026,-0.036
0.005,0.046,-0.023
-0.002,0.036,-0.004
-0.036,-0.006,-0.010
-0.071,-0.032,-0.017
-0.063,-0.032,-0.050
-0.082,-0.022,-0.071
-0.096,-0.039,-0.053
-0.071,-0.054,-0.050
-0.058,-0.015,-0.044
-0.059,0.011,-0.041
-0.028,-0.004,-0.045
-0.001,-0.023,-0.033
0.036,-0.007,-0.025
0.045,0.020,-0.007
0.032,0.025,-0.005
0.065,0.020,0.004
0.078,0.023,0.009
0.074,0.064,0.002
0.092,0.045,0.017
0.097,0.008,0.005
0.057,0.029,-0.004
0.013,0.020,-0.016
-0.005,0.003,-0.032
-0.011,-0.025,-0.033
-0.033,-0.018,-0.027
-0.063,0.013,-0.012
-0.066,-0.028,-0.028
-0.075,-0.056,-0.046
-0.078,-0.048,-0.053
-0.071,-0.017,-0.049
-0.071,0.029,-0.007
-0.051,0.035,0.016
-0.026,0.056,0.011
-0.008,0.077,0.014
0.020,0.041,0.017
0.076,-0.004,0.013
0.113,-0.013,0.022
0.121,0.009,0.044
0.121,0.003,0.020
0.111,-0.027,-0.020
0.081,-0.016,-0.036
0.023,0.020,-0.048
-0.032,0.011,-0.062
-0.075,-0.015,-0.078
-0.086,-0.023,-0.084
-0.077,-0.018,-0.073
-0.095,-0.029,-0.057
-0.085,-0.059,-0.020
-0.068,-0.036,0.033
-0.077,-0.001,0.041
-0.055,-0.002,0.011
-0.032,0.020,-0.012
0.009,0.045,-0.019
0.041,0.066,-0.024
0.064,0.076,-0.018
0.119,0.039,-0.022
0.139,0.022,-0.030
0.151,0.020,-0.020
0.114,-0.005,0.000
0.043,-0.010,0.053
0.014,-0.012,0.050
-0.013,0.000,-0.010
-0.035,0.014,-0.027
-0.052,-0.003,-0.029
-0.066,0.001,-0.030
-0.068,-0.001,-0.018
-0.032,-0.034,-0.017
-0.009,-0.025,-0.033
-0.011,-0.032,-0.052
0.008,-0.061,-0.043
-0.014,-0.061,-0.019
-0.050,-0.059,-0.014
-0.036,-0.017,-0.008
-0.025,0.022,-0.006
-0.020,0.023,0.002
0.026,0.012,-0.017
0.045,0.007,-0.055
0.053,0.021,-0.052
0.060,0.023,-0.047
0.027,0.029,-0.037
0.007,0.061,-0.025
-0.018,0.085,-0.022
-0.035,0.073,-0.017
-0.038,0.047,-0.038
-0.036,0.036,-0.052
