date_time,lat,lng,depth,magnitude,area
2020-1-2 00:00:44.9,31°57.1'N,130°55.9'E,6,-0.3,宮崎県南部山沿い
2020-1-2 00:03:29.7,37°3.9'N,140°38.6'E,5,0.5,福島県中通り
2020-1-2 00:04:5.0,33°1.2'N,131°10.4'E,10,0.7,熊本県阿蘇地方
2020-1-2 00:04:9.5,34°54.2'N,137°47.3'E,21,-0.2,静岡県西部
2020-1-2 00:07:10.4,26°10.0'N,123°46.6'E,224,3.1,東シナ海
2020-1-2 00:12:2.1,36°10.3'N,140°4.4'E,65,0.7,茨城県南部
2020-1-2 00:15:10.4,33°58.1'N,135°38.1'E,55,0.8,和歌山県南部
2020-1-2 00:18:39.0,36°56.2'N,138°26.1'E,6,0.2,長野県北部
2020-1-2 00:21:42.6,43°24.4'N,147°5.0'E,33,2.2,北海道東方沖
2020-1-2 00:22:33.7,36°7.1'N,142°5.1'E,66,1.9,茨城県沖
2020-1-2 00:23:13.9,43°16.6'N,147°12.7'E,56,2.5,北海道東方沖
2020-1-2 00:36:41.3,41°46.7'N,141°59.0'E,99,1.5,苫小牧沖
2020-1-2 00:36:42.3,32°22.0'N,138°55.9'E,292,2.9,八丈島近海
2020-1-2 00:41:2.3,35°31.5'N,136°43.0'E,9,0.4,岐阜県美濃中西部
2020-1-2 00:41:56.3,36°40.8'N,140°38.7'E,8,0.7,茨城県北部
2020-1-2 00:53:4.1,35°26.7'N,133°49.9'E,8,0.6,鳥取県中部
2020-1-2 01:00:15.3,35°1.4'N,139°33.3'E,36,-,伊豆大島近海
2020-1-2 01:01:38.6,25°13.7'N,141°25.1'E,180,4.5,硫黄島近海
2020-1-2 01:07:51.4,39°45.2'N,142°44.6'E,21,1.4,岩手県沖
2020-1-2 01:16:34.4,36°49.6'N,138°35.8'E,0,1.8,長野県北部
2020-1-2 01:19:23.1,34°45.3'N,137°48.7'E,31,0.4,静岡県西部
2020-1-2 01:19:24.7,36°3.1'N,137°34.8'E,6,0.1,岐阜県飛騨地方
2020-1-2 01:20:23.0,32°6.2'N,131°45.7'E,34,0.5,日向灘
2020-1-2 01:23:23.8,32°31.1'N,129°47.7'E,14,0.6,天草灘
2020-1-2 01:24:46.3,33°29.5'N,138°2.7'E,348,2.6,三重県南東沖
2020-1-2 01:27:5.4,37°25.1'N,141°48.3'E,44,1.5,福島県沖
2020-1-2 01:27:25.8,32°30.7'N,131°50.5'E,42,0.5,日向灘
2020-1-2 01:36:36.8,34°10.0'N,135°4.7'E,10,0.5,紀伊水道
2020-1-2 01:38:5.7,36°22.3'N,140°41.2'E,41,0.9,茨城県沖
2020-1-2 01:39:29.6,38°22.1'N,142°17.4'E,30,1.8,宮城県沖
2020-1-2 01:39:45.7,36°56.5'N,140°33.9'E,9,0.0,福島県中通り
2020-1-2 01:39:47.5,35°53.9'N,140°7.0'E,60,0.4,茨城県南部
2020-1-2 01:41:40.2,34°7.7'N,135°6.4'E,8,0.2,紀伊水道
2020-1-2 01:44:40.7,36°3.1'N,137°34.2'E,8,0.3,岐阜県飛騨地方
2020-1-2 01:49:41.1,24°53.0'N,127°52.4'E,80,2.3,沖縄本島近海
2020-1-2 01:50:37.9,33°11.9'N,139°34.3'E,32,1.7,八丈島近海
2020-1-2 01:57:47.5,34°8.4'N,135°8.7'E,6,0.2,和歌山県北部
2020-1-2 01:58:29.6,37°24.5'N,141°38.7'E,47,1.0,福島県沖
2020-1-2 01:58:36.9,35°54.1'N,140°20.1'E,33,0.3,茨城県南部
2020-1-2 02:03:0.1,34°30.7'N,138°45.7'E,12,0.8,駿河湾南方沖
2020-1-2 02:06:45.0,37°27.7'N,141°50.2'E,29,1.5,福島県沖
2020-1-2 02:07:0.4,41°32.8'N,142°58.6'E,27,2.2,青森県東方沖
2020-1-2 02:10:2.2,35°42.2'N,137°44.5'E,10,0.1,長野県南部
2020-1-2 02:14:47.3,30°16.8'N,130°55.9'E,8,0.7,種子島近海
2020-1-2 02:15:23.8,33°1.4'N,130°34.0'E,8,-0.7,熊本県熊本地方
2020-1-2 02:16:34.6,33°52.8'N,135°13.3'E,8,1.3,和歌山県北部
2020-1-2 02:18:4.2,32°43.7'N,130°40.3'E,14,0.1,熊本県熊本地方
2020-1-2 02:20:40.8,35°50.9'N,140°31.0'E,35,0.8,千葉県北東部
2020-1-2 02:22:1.6,43°23.1'N,143°3.6'E,3,0.1,十勝地方北部
2020-1-2 02:22:48.8,39°1.3'N,142°24.7'E,32,0.8,岩手県沖
2020-1-2 02:22:56.6,35°16.0'N,141°14.7'E,42,1.4,千葉県東方沖
2020-1-2 02:23:33.2,36°48.8'N,140°35.9'E,9,1.5,茨城県北部
2020-1-2 02:28:6.4,36°36.4'N,142°14.1'E,25,2.4,福島県沖
2020-1-2 02:31:58.1,34°2.9'N,133°3.5'E,14,1.4,瀬戸内海中部
2020-1-2 02:33:14.8,35°55.9'N,140°6.2'E,44,0.1,茨城県南部
2020-1-2 02:36:20.5,38°36.7'N,142°0.2'E,47,0.5,宮城県沖
2020-1-2 02:39:37.0,36°49.8'N,138°35.4'E,3,0.7,長野県北部
2020-1-2 02:39:43.4,42°19.2'N,143°50.5'E,41,0.8,十勝沖
2020-1-2 02:43:15.9,34°5.1'N,140°26.7'E,23,2.4,房総半島南方沖
2020-1-2 02:47:52.3,35°20.1'N,139°59.8'E,43,0.4,千葉県南部
2020-1-2 02:50:9.9,32°1.0'N,129°44.5'E,8,0.7,天草灘
2020-1-2 02:53:21.7,36°32.4'N,140°25.9'E,57,1.0,茨城県北部
2020-1-2 02:53:26.3,36°3.0'N,137°34.5'E,7,0.3,岐阜県飛騨地方
2020-1-2 02:54:18.9,36°32.4'N,140°26.3'E,55,0.3,茨城県北部
2020-1-2 02:54:26.0,33°30.6'N,135°3.8'E,21,1.5,和歌山県南方沖
2020-1-2 02:54:31.8,36°32.0'N,140°25.9'E,56,1.1,茨城県北部
2020-1-2 02:59:30.4,34°4.8'N,135°23.3'E,7,0.5,和歌山県北部
2020-1-2 03:00:11.1,32°26.0'N,131°32.2'E,13,0.5,宮崎県北部平野部
2020-1-2 03:03:2.5,36°54.6'N,139°23.7'E,6,0.5,群馬県北部
2020-1-2 03:04:42.6,34°45.2'N,137°39.8'E,29,0.2,静岡県西部
2020-1-2 03:06:28.3,37°22.2'N,142°10.8'E,29,-,福島県沖
2020-1-2 03:13:5.7,30°35.1'N,131°12.8'E,31,1.0,種子島近海
2020-1-2 03:13:31.2,31°24.7'N,130°41.4'E,117,2.4,鹿児島湾
2020-1-2 03:13:58.4,35°25.8'N,139°0.1'E,22,0.1,神奈川県西部
2020-1-2 03:22:32.1,32°15.2'N,131°0.0'E,124,1.0,熊本県球磨地方
2020-1-2 03:23:35.5,36°55.7'N,138°26.3'E,8,0.2,長野県北部
2020-1-2 03:23:56.7,34°54.1'N,137°47.2'E,22,0.2,静岡県西部
2020-1-2 03:24:14.5,26°9.1'N,129°27.4'E,48,1.9,沖縄本島近海
2020-1-2 03:27:18.4,33°44.9'N,134°57.7'E,42,1.3,紀伊水道
2020-1-2 03:27:22.3,34°49.1'N,135°31.6'E,10,1.0,大阪府北部
2020-1-2 03:28:4.8,42°2.1'N,143°0.7'E,48,0.7,浦河沖
2020-1-2 03:29:38.3,39°29.7'N,143°2.1'E,22,2.1,三陸沖
2020-1-2 03:32:50.7,36°56.7'N,140°37.8'E,9,0.4,福島県浜通り
2020-1-2 03:32:53.0,32°26.2'N,130°31.8'E,9,0.2,熊本県天草・芦北地方
2020-1-2 03:34:38.8,33°45.5'N,134°57.5'E,38,0.5,紀伊水道
2020-1-2 03:35:41.1,35°50.2'N,138°11.7'E,2,-0.5,長野県中部
2020-1-2 03:35:54.4,33°4.8'N,130°32.5'E,15,0.3,福岡県筑後地方
2020-1-2 03:38:55.8,31°50.5'N,130°43.2'E,8,0.7,鹿児島県薩摩地方
2020-1-2 03:39:2.5,37°47.4'N,142°18.9'E,32,1.8,福島県沖
2020-1-2 03:39:4.4,26°27.6'N,127°1.1'E,11,1.4,沖縄本島近海
2020-1-2 03:40:16.3,31°50.8'N,130°43.1'E,5,0.2,鹿児島県薩摩地方
2020-1-2 03:44:42.7,42°56.2'N,143°25.8'E,116,1.1,十勝地方中部
2020-1-2 03:47:19.5,44°17.7'N,150°11.2'E,30,4.6,択捉島南東沖
2020-1-2 03:49:19.6,36°18.4'N,137°2.9'E,11,-0.1,岐阜県飛騨地方
2020-1-2 03:50:27.9,36°48.3'N,140°32.5'E,6,1.0,茨城県北部
2020-1-2 03:50:56.5,36°26.6'N,138°2.0'E,11,0.2,長野県中部
2020-1-2 03:54:34.9,32°16.9'N,130°19.1'E,5,0.9,熊本県天草・芦北地方
2020-1-2 03:57:52.7,36°37.7'N,139°58.5'E,116,0.8,栃木県南部
2020-1-2 03:58:5.4,36°50.4'N,140°31.8'E,7,-0.1,福島県中通り
2020-1-2 04:01:7.9,35°53.5'N,138°10.1'E,3,-0.7,長野県南部
2020-1-2 04:03:5.5,34°8.2'N,135°4.1'E,9,1.4,紀伊水道
2020-1-2 04:04:27.9,38°19.3'N,142°4.8'E,30,1.4,宮城県沖
2020-1-2 04:06:41.1,35°39.1'N,139°46.0'E,64,0.9,東京都２３区
2020-1-2 04:07:11.3,31°6.1'N,131°27.8'E,25,1.4,大隅半島東方沖
2020-1-2 04:16:57.8,31°6.1'N,131°27.4'E,23,1.0,大隅半島東方沖
2020-1-2 04:17:32.6,36°50.1'N,138°34.8'E,8,0.4,長野県北部
2020-1-2 04:18:33.5,32°32.2'N,132°8.7'E,26,1.0,日向灘
2020-1-2 04:22:54.9,36°55.6'N,139°41.0'E,9,0.0,栃木県北部
2020-1-2 04:25:11.7,38°51.2'N,141°39.1'E,64,0.4,宮城県沖
2020-1-2 04:25:24.1,35°29.5'N,138°57.6'E,24,1.5,山梨県東部・富士五湖
2020-1-2 04:26:29.5,31°21.8'N,131°23.8'E,44,0.9,大隅半島東方沖
2020-1-2 04:27:20.2,35°41.9'N,140°51.7'E,32,1.9,千葉県東方沖
2020-1-2 04:28:47.7,35°29.3'N,136°44.5'E,8,0.6,岐阜県美濃中西部
2020-1-2 04:35:16.4,35°49.8'N,140°14.9'E,48,0.3,千葉県北西部
2020-1-2 04:36:48.8,34°35.6'N,133°35.0'E,14,0.8,岡山県南部
2020-1-2 04:39:7.5,36°39.7'N,140°38.3'E,9,0.7,茨城県北部
2020-1-2 04:39:24.7,27°39.7'N,128°24.3'E,66,1.9,沖縄本島近海
2020-1-2 04:49:0.1,36°18.4'N,140°50.1'E,46,1.5,茨城県沖
2020-1-2 04:52:47.2,37°27.1'N,141°52.5'E,36,2.2,福島県沖
2020-1-2 04:55:57.2,33°36.3'N,135°32.2'E,21,0.4,和歌山県南部
